"year","ann_mean","ann_av_dur","ann_dur","ann_mod","ann_str","ann_ex","ann_sev","ann_winter","ann_spring","ann_summer","ann_fall","ann_winter_spring","ann_spring_summer","ann_summer_fall","ann_fall_winter","ann_winter_summer","ann_spring_fall","ann_summer_winter","ann_fall_spring","ann_year_round"
1979,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1980,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1981,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1982,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1983,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1984,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1985,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1986,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1987,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1988,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1989,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1990,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1991,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1992,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1993,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1994,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1995,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1996,6.1518,6,6,67,33,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
1997,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1998,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1999,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2000,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2001,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2002,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2003,5.8762,7,7,100,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
2004,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2005,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2006,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2007,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2008,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2009,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2010,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021,8.6484,21,21,0,62,0,38,0,0,0,0,0,0,0,1,0,0,0,0,0
2022,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2024,8.3684,13.5,27,5,133,0,62,2,0,0,0,0,0,0,0,0,0,0,0,0
2025,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2026,8.1262,29,29,3,97,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
2027,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2028,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2029,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2030,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2031,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2032,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2033,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2034,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2035,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2036,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2037,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2038,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2039,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2040,6.1988,15,15,20,80,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
2041,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2042,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2043,7.9622,8,8,0,100,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
2044,6.7873,23,23,17,83,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
2045,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2046,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2047,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2048,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2049,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2050,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2051,9.57585,16.5,33,0,141,0,59,1,0,0,1,0,0,0,0,0,0,0,0,0
2052,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2053,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2054,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2055,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2056,8.3417,8,8,0,100,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
2057,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2058,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2059,6.4322,6.66666666666667,20,94,206,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0
2060,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2061,8.7729,10,10,0,50,0,50,1,0,0,0,0,0,0,0,0,0,0,0,0
2062,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2063,7.37395,8,16,0,200,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
2064,6.1189,5,5,20,80,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
2065,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2066,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2067,6.3642,13,13,8,92,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
2068,7.25955,16.5,33,57,143,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
2069,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2070,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2071,8.0645,12,12,0,100,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
2072,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2073,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2074,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2075,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2076,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2077,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2078,7.447,15,15,0,100,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
2079,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2080,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2081,8.7476,43,43,0,60,0,40,1,0,0,0,0,0,0,0,0,0,0,0,0
2082,9.1372,22,22,0,45,0,55,1,0,0,0,0,0,0,0,0,0,0,0,0
2083,8.0368,14,14,0,79,0,21,1,0,0,0,0,0,0,0,0,0,0,0,0
2084,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2085,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2086,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2087,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2088,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2089,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2090,10.3477,7,7,0,100,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
2091,8.08465,21.5,43,9,153,0,38,1,0,0,0,0,0,0,1,0,0,0,0,0
2092,7.7387,11,11,0,100,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
2093,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2094,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2095,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2096,5.7965,5,5,60,40,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
2097,6.26065,5,10,60,140,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
2098,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2099,7.1322,10,10,0,100,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
